,Country_N,Country,Team_Matches_Played,Matches_Won,Points,Rating,Matches_Lost,Matches_Tied,Win_outcome,Matches_With_No_Result,Win/Loss_Ratio,Avg_Runs_Per_Wicket_Batting,Avg_Runs_Per_Six_Balls_Batting,Number_Of_Team_Innings_Batting,Highest_Team_Score_Batting,Lowest_Completed_Score_Batting,Avg_Runs_Per_Wicket_Bowling,Avg_Runs_Per_Six_Balls_Bowling,Number_Of_Team_Innings_Bowling,Highest_Team_Score_Bowling,Lowest_Completed_Score_Bowling,Pos,Matches,Partners,Partnership_Career_Span,Partnership_Career_Start,Partnership_Career_End,Number_Of_Partnerships,Unbroken_Partnerships,Total_Partnership_Runs,Highest_Partnership,Avg_Partnership_Per_Dismissal,Century_Partnerships,Fifty_Runs_And_Over_Partnerships,Margin,Target,Opposition,Ground,Match_Date,Scorecard
55,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"EJG Morgan, KP Pietersen",2009-2012,2009,2012,10,2,306,112*,38.25,1,1,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
56,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"EJG Morgan, KP Pietersen",2009-2012,2009,2012,10,2,306,112*,38.25,1,1,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
57,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"EJG Morgan, KP Pietersen",2009-2012,2009,2012,10,2,306,112*,38.25,1,1,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
58,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"EJG Morgan, KP Pietersen",2009-2012,2009,2012,10,2,306,112*,38.25,1,1,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
59,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"EJG Morgan, KP Pietersen",2009-2012,2009,2012,10,2,306,112*,38.25,1,1,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
60,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"PD Collingwood, OA Shah",2007-2009,2007,2009,7,0,295,102,42.14,1,1,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
61,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"PD Collingwood, OA Shah",2007-2009,2007,2009,7,0,295,102,42.14,1,1,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
62,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"PD Collingwood, OA Shah",2007-2009,2007,2009,7,0,295,102,42.14,1,1,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
63,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"PD Collingwood, OA Shah",2007-2009,2007,2009,7,0,295,102,42.14,1,1,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
64,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"PD Collingwood, OA Shah",2007-2009,2007,2009,7,0,295,102,42.14,1,1,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
65,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"C Kieswetter, MJ Lumb",2010-2012,2010,2012,9,0,230,68,25.55,0,1,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
66,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"C Kieswetter, MJ Lumb",2010-2012,2010,2012,9,0,230,68,25.55,0,1,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
67,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"C Kieswetter, MJ Lumb",2010-2012,2010,2012,9,0,230,68,25.55,0,1,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
68,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"C Kieswetter, MJ Lumb",2010-2012,2010,2012,9,0,230,68,25.55,0,1,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
69,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"C Kieswetter, MJ Lumb",2010-2012,2010,2012,9,0,230,68,25.55,0,1,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
70,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, C Kieswetter",2011-2012,2011,2012,11,1,224,128*,22.4,1,0,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
71,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, C Kieswetter",2011-2012,2011,2012,11,1,224,128*,22.4,1,0,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
72,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, C Kieswetter",2011-2012,2011,2012,11,1,224,128*,22.4,1,0,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
73,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, C Kieswetter",2011-2012,2011,2012,11,1,224,128*,22.4,1,0,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
74,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"AD Hales, C Kieswetter",2011-2012,2011,2012,11,1,224,128*,22.4,1,0,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
75,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"RS Bopara, AD Hales",2012-2014,2012,2014,3,1,208,159,104,1,0,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
76,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"RS Bopara, AD Hales",2012-2014,2012,2014,3,1,208,159,104,1,0,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
77,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"RS Bopara, AD Hales",2012-2014,2012,2014,3,1,208,159,104,1,0,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
78,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"RS Bopara, AD Hales",2012-2014,2012,2014,3,1,208,159,104,1,0,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
79,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"RS Bopara, AD Hales",2012-2014,2012,2014,3,1,208,159,104,1,0,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
80,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"RS Bopara, EJG Morgan",2010-2014,2010,2014,9,0,181,73,20.11,0,1,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
81,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"RS Bopara, EJG Morgan",2010-2014,2010,2014,9,0,181,73,20.11,0,1,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
82,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"RS Bopara, EJG Morgan",2010-2014,2010,2014,9,0,181,73,20.11,0,1,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
83,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"RS Bopara, EJG Morgan",2010-2014,2010,2014,9,0,181,73,20.11,0,1,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
84,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"RS Bopara, EJG Morgan",2010-2014,2010,2014,9,0,181,73,20.11,0,1,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
85,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"KP Pietersen, IJL Trott",2007-2010,2007,2010,5,0,179,98,35.8,0,2,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
86,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"KP Pietersen, IJL Trott",2007-2010,2007,2010,5,0,179,98,35.8,0,2,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
87,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"KP Pietersen, IJL Trott",2007-2010,2007,2010,5,0,179,98,35.8,0,2,56 runs,192,v New Zealand,Manchester,23-Jun-15,T20I # 423
88,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"KP Pietersen, IJL Trott",2007-2010,2007,2010,5,0,179,98,35.8,0,2,50 runs,189,v Zimbabwe,Cape Town,13-Sep-07,T20I # 25
89,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"KP Pietersen, IJL Trott",2007-2010,2007,2010,5,0,179,98,35.8,0,2,50 runs,194,v New Zealand,Christchurch,07-Feb-08,T20I # 54
90,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"PD Collingwood, EJG Morgan",2009-2011,2009,2011,5,1,178,98,44.5,0,1,116 runs,197,v Afghanistan,Colombo (RPS),21-Sep-12,T20I # 268
91,1,England,96,46,2029,119,45,1,1,4,1.022,24.32,8.14,96,230,80,24.27,8.08,95,248,79,4,17,"PD Collingwood, EJG Morgan",2009-2011,2009,2011,5,1,178,98,44.5,0,1,100 runs,180,v Australia,Southampton,13-Jun-05,T20I # 2
