"Country_N","Country","Team_Matches_Played","Matches_Won","Points","Rating","Matches_Lost","Matches_Tied","Win_outcome","Avg_Runs_Per_Wicket_Batting","Avg_Runs_Per_Six_Balls_Batting","Highest_Team_Score_Batting","Avg_Runs_Per_Wicket_Bowling","Avg_Runs_Per_Six_Balls_Bowling","Number_Of_Team_Innings_Bowling","Highest_Team_Score_Bowling","Lowest_Completed_Score_Bowling","Partners","Partnership_Career_Span","Number_Of_Partnerships","Unbroken_Partnerships","Total_Partnership_Runs","Highest_Partnership","Avg_Partnership_Per_Dismissal","Century_Partnerships","Fifty_Runs_And_Over_Partnerships","Margin","Target","Opposition","Ground","Match_Date"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"SW Poynter, GC Wilson","2016-2016",1,0,28,"28","28",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"SW Poynter, GC Wilson","2016-2016",1,0,28,"28","28",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"SR Thompson, GC Wilson","2014-2016",2,0,28,"20","14",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"SR Thompson, GC Wilson","2014-2016",2,0,28,"20","14",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"SR Thompson, GC Wilson","2014-2016",2,0,28,"20","14",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"J Anderson, DA Rankin","2015-2015",1,0,27,"27","27",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"J Anderson, DA Rankin","2015-2015",1,0,27,"27","27",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"J Anderson, DA Rankin","2015-2015",1,0,27,"27","27",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"GH Dockrell, TE Kane","2015-2015",1,1,24,"24*","-",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"GH Dockrell, TE Kane","2015-2015",1,1,24,"24*","-",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"GH Dockrell, TE Kane","2015-2015",1,1,24,"24*","-",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"GH Dockrell, GC Wilson","2017-2017",1,1,24,"24*","-",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"GH Dockrell, GC Wilson","2017-2017",1,1,24,"24*","-",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"GH Dockrell, GC Wilson","2017-2017",1,1,24,"24*","-",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"DT Johnston, AR White","2008-2010",2,0,24,"20","12",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"DT Johnston, AR White","2008-2010",2,0,24,"20","12",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"DT Johnston, AR White","2008-2010",2,0,24,"20","12",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"A Balbirnie, WTS Porterfield","2015-2016",3,0,23,"9","7.66",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"A Balbirnie, WTS Porterfield","2015-2016",3,0,23,"9","7.66",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"A Balbirnie, WTS Porterfield","2015-2016",3,0,23,"9","7.66",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AR Cusack, NG Jones","2012-2012",1,1,22,"22*","-",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AR Cusack, NG Jones","2012-2012",1,1,22,"22*","-",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AR Cusack, NG Jones","2012-2012",1,1,22,"22*","-",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"DT Johnston, NG Jones","2012-2012",1,1,22,"22*","-",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"DT Johnston, NG Jones","2012-2012",1,1,22,"22*","-",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"DT Johnston, NG Jones","2012-2012",1,1,22,"22*","-",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AC Botha, PR Stirling","2010-2010",2,0,21,"21","10.5",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,1,19.54,7.14,225,18.83,7.13,57,233,53,"AC Botha, PR Stirling","2010-2010",2,0,21,"21","10.5",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
