Player,Innings Bowled In,Balls Bowled,Runs Conceded,Wickets Taken,Best Bowling In An Innings,Bowling Avg,Economy Rate,Bowling Strike Rate,Four Wickets In An Innings,Five Wickets In An Innings,40+ Wickets Taken,<30.00 Bowling Avg,<8.00 Economy Rate,<25.00 Bowling Strike Rate
Farhan Ahmed (2016-2016),3,54,66,3,2/28,22.00,7.33,18.0,0,0,0,0,0,0
Zahoor Khan (2017-2017),3,60,70,3,2/27,23.33,7.00,20.0,0,0,0,0,0,0
Kamran Shazad (2014-2014),3,"50,4",77,2,2/19,38.50,8.88,26.0,0,0,0,0,0,0
Sharif Asadullah (2014-2014),1,18,21,2,2/21,10.50,7.00,9.0,0,0,0,0,0,0
EHSN Silva (2014-2014),2,42,58,2,1/20,29.00,8.28,21.0,0,0,0,0,0,0
Fayyaz Ahmed (2015-2015),1,18,29,1,1/29,29.00,9.66,18.0,0,0,0,0,0,0
Khurram Khan (2014-2014),1,6,8,1,1/8,8.00,8.00,6.0,0,0,0,0,0,0
Sultan Ahmed (2017-2017),2,36,38,1,1/12,38.00,6.33,36.0,0,0,0,0,0,0
Umair Ali (2015-2015),2,24,28,1,1/13,28.00,7.00,24.0,0,0,0,0,0,0
Zaheer Maqsood (2015-2016),3,54,80,1,1/29,80.00,8.88,54.0,0,0,0,0,0,0
Atif Ali Khan (2016-2016),1,24,43,0,-,-,10.75,-,0,0,0,0,0,0
Fahad Tariq (2016-2016),2,18,26,0,-,-,8.66,-,0,0,0,0,0,0
Mohammad Tauqir (2015-2015),3,42,55,0,-,-,7.85,-,0,0,0,0,0,0
Mohammed Qasim (2016-2017),1,6,8,0,-,-,8.00,-,0,0,0,0,0,0
Muhammed Shanil (2016-2016),1,24,49,0,-,-,12.25,-,0,0,0,0,0,0
Nasir Aziz (2015-2015),1,24,21,0,-,-,5.25,-,0,0,0,0,0,0
Abdul Shakoor (2015-2015),-,,-,-,-,-,-,-,-,-,0,0,0,0
Adnan Mufti (2017-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
Amjad Ali (2014-2015),-,,-,-,-,-,-,-,-,-,0,0,0,0
Amjad Gul (2015-2016),-,,-,-,-,-,-,-,-,-,0,0,0,0
Faizan Asif (2014-2015),-,,-,-,-,-,-,-,-,-,0,0,0,0
Ghulam Shabber (2016-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
Muhammad Kaleem (2016-2016),-,,-,-,-,-,-,-,-,-,0,0,0,0
Muhammad Usman (2016-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
SP Patil (2014-2016),-,,-,-,-,-,-,-,-,-,0,0,0,0
Rameez Shahzad (2016-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
Saqlain Haider (2016-2016),-,,-,-,-,-,-,-,-,-,0,0,0,0
Shaiman Anwar (2014-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
V Shetty (2014-2014),-,,-,-,-,-,-,-,-,-,0,0,0,0
L Sreekumar (2017-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
Usman Mushtaq (2016-2016),-,,-,-,-,-,-,-,-,-,0,0,0,0
"KJ O'Brien (2008-2017)",46,"835,8",998,54,4/45,18.48,7.15,15.5,1,0,1,1,1,1
GH Dockrell (2010-2017),42,"854,4",927,52,4/20,17.82,6.49,16.4,1,0,1,1,1,1
AR Cusack (2008-2015),33,606,714,35,4/11,20.40,7.06,17.3,3,0,0,1,1,1
DT Johnston (2008-2013),28,594,636,32,4/22,19.87,6.42,18.5,1,0,0,1,1,1
WB Rankin (2009-2017),24,498,513,27,3/16,19.00,6.18,18.4,0,0,0,0,0,0
MC Sorensen (2012-2016),22,390,471,26,3/17,18.11,7.24,15.0,0,0,0,0,0,0
AC Botha (2008-2010),10,204,184,21,3/14,8.76,5.41,9.7,0,0,0,0,0,0
AR McBrine (2014-2017),13,174,216,13,2/7,16.61,7.44,13.3,0,0,0,0,0,0
TJ Murtagh (2012-2016),14,"266,4",324,13,3/23,24.92,7.25,20.6,0,0,0,0,0,0
PR Stirling (2009-2017),22,354,413,13,3/21,31.76,7.00,27.2,0,0,0,0,0,0
J Mulder (2016-2017),8,174,192,12,4/16,16.00,6.62,14.5,1,0,0,0,0,0
