Player,Innings Fielded,Fielding Dismissals Made,Catches Taken,Stumpings Made,Catches As A Keeper,Catches As A Fielder,Max Dismissals In An Innings,Dismissals Per Innings
L Ronchi (2008-2009),3,0,0,0,0,0,0,0.000
PM Siddle (2009-2010),2,0,0,0,0,0,0,0.000
B Stanlake (2017-2017),1,0,0,0,0,0,0,0.000
MP Stoinis (2015-2017),2,0,0,0,0,0,0,0.000
AJ Tye (2016-2017),7,0,0,0,0,0,0,0.000
A Zampa (2016-2017),12,0,0,0,0,0,0,0.000
AB de Villiers (2006-2017),78,72,65,7,21,44,4 (4ct 0st),0.923
Q de Kock (2012-2017),31,39,30,9,30,0,4 (3ct 1st),1.258
JP Duminy (2007-2017),73,34,34,0,0,34,2 (2ct 0st),0.465
DA Miller (2010-2017),54,34,34,0,0,34,3 (3ct 0st),0.629
MV Boucher (2005-2010),25,19,18,1,18,0,3 (3ct 0st),0.760
HM Amla (2009-2017),40,18,18,0,0,18,2 (2ct 0st),0.450
F du Plessis (2012-2017),36,18,18,0,0,18,2 (2ct 0st),0.500
GC Smith (2005-2011),33,18,18,0,0,18,2 (2ct 0st),0.545
J Botha (2006-2012),40,17,17,0,0,17,2 (2ct 0st),0.425
JA Morkel (2005-2015),50,17,17,0,0,17,2 (2ct 0st),0.340
F Behardien (2012-2017),34,11,11,0,0,11,2 (2ct 0st),0.323
DW Steyn (2007-2016),42,11,11,0,0,11,1 (1ct 0st),0.261
JL Ontong (2008-2015),14,10,10,0,0,10,3 (3ct 0st),0.714
RJ Peterson (2006-2014),21,10,10,0,0,10,2 (2ct 0st),0.476
RR Rossouw (2014-2016),15,9,9,0,0,9,3 (3ct 0st),0.600
D Wiese (2013-2016),20,9,9,0,0,9,2 (2ct 0st),0.450
HH Gibbs (2005-2010),23,8,8,0,0,8,3 (3ct 0st),0.347
M Mosehle (2017-2017),7,8,6,2,6,0,3 (2ct 1st),1.142
KJ Abbott (2013-2016),21,7,7,0,0,7,2 (2ct 0st),0.333
JH Kallis (2005-2012),25,7,7,0,0,7,2 (2ct 0st),0.280
RE van der Merwe (2009-2010),13,6,6,0,0,6,1 (1ct 0st),0.461
MN van Wyk (2007-2015),8,6,5,1,3,2,1 (1ct 0st),0.750
Imran Tahir (2013-2017),33,5,5,0,0,5,1 (1ct 0st),0.151
HG Kuhn (2009-2017),7,5,5,0,4,1,3 (3ct 0st),0.714
M Morkel (2007-2017),41,5,5,0,0,5,1 (1ct 0st),0.121
CH Morris (2012-2017),14,5,5,0,0,5,2 (2ct 0st),0.357
WD Parnell (2009-2017),40,5,5,0,0,5,1 (1ct 0st),0.125
RE Levi (2012-2012),13,4,4,0,0,4,1 (1ct 0st),0.307
RR Hendricks (2014-2017),9,3,3,0,0,3,1 (1ct 0st),0.333
JM Kemp (2005-2007),8,3,3,0,0,3,1 (1ct 0st),0.375
R McLaren (2009-2014),12,3,3,0,0,3,1 (1ct 0st),0.250
TB de Bruyn (2017-2017),2,2,2,0,0,2,2 (2ct 0st),1.000
BE Hendricks (2014-2017),7,2,2,0,0,2,2 (2ct 0st),0.285
CA Ingram (2010-2012),9,2,2,0,0,2,1 (1ct 0st),0.222
M Ntini (2005-2011),10,2,2,0,0,2,1 (1ct 0st),0.200
SM Pollock (2005-2008),12,2,2,0,0,2,1 (1ct 0st),0.166
K Rabada (2014-2016),16,2,2,0,0,2,1 (1ct 0st),0.125
J Theron (2010-2012),9,2,2,0,0,2,1 (1ct 0st),0.222
LE Bosman (2006-2010),14,1,1,0,0,1,1 (1ct 0st),0.071
M de Lange (2012-2015),6,1,1,0,0,1,1 (1ct 0st),0.166
